,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit
2281,Existing Customer,36,M,4,Unknown,Single,$40K - $60K,Blue,36,1,2,9887
2282,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,53,3,5,4161
2283,Existing Customer,26,M,0,Graduate,Single,Less than $40K,Blue,15,3,3,2740
2284,Attrited Customer,26,F,0,High School,Single,Unknown,Blue,13,2,4,6152
2285,Existing Customer,34,M,3,Uneducated,Married,$60K - $80K,Blue,24,1,4,8167
2286,Existing Customer,51,M,2,College,Married,$120K +,Blue,41,2,4,23742
2287,Existing Customer,57,M,3,College,Unknown,$60K - $80K,Blue,50,3,4,16791
2288,Existing Customer,30,M,0,Graduate,Divorced,$80K - $120K,Blue,23,1,2,26783
2289,Existing Customer,35,M,1,Post-Graduate,Married,$80K - $120K,Blue,27,3,4,25516
2290,Existing Customer,32,M,0,Graduate,Married,$40K - $60K,Blue,27,3,2,4815
2291,Existing Customer,62,M,1,Graduate,Married,Unknown,Blue,36,2,2,3198
2292,Attrited Customer,32,M,1,Uneducated,Married,Less than $40K,Blue,23,3,3,2218
2293,Existing Customer,53,M,3,High School,Married,$80K - $120K,Blue,44,2,3,23462
2294,Existing Customer,55,M,3,College,Married,$60K - $80K,Blue,36,4,4,2252
2295,Existing Customer,26,F,1,Unknown,Single,Less than $40K,Blue,36,3,3,2557
2296,Attrited Customer,35,F,0,Graduate,Single,Less than $40K,Blue,25,3,4,2300
2297,Existing Customer,31,F,0,Graduate,Married,Less than $40K,Blue,26,1,1,3540
2298,Existing Customer,53,M,3,Unknown,Single,$60K - $80K,Blue,42,1,2,22938
2299,Existing Customer,45,M,2,Graduate,Married,$40K - $60K,Blue,34,1,3,13129
2300,Existing Customer,39,M,3,Unknown,Single,$80K - $120K,Silver,36,3,2,34516
2301,Existing Customer,61,F,0,High School,Married,Less than $40K,Blue,53,2,0,3396
2302,Existing Customer,31,F,0,Uneducated,Single,Less than $40K,Blue,20,3,4,4712
2303,Existing Customer,37,M,2,Graduate,Single,$60K - $80K,Blue,36,2,2,7638
2304,Existing Customer,41,M,3,Post-Graduate,Married,$60K - $80K,Blue,34,2,2,2624
2305,Existing Customer,58,M,3,Graduate,Married,$120K +,Blue,52,2,5,17934
2306,Existing Customer,45,M,5,Graduate,Married,$40K - $60K,Silver,39,1,5,15198
2307,Existing Customer,57,F,4,High School,Married,Less than $40K,Blue,47,3,4,3191
2308,Existing Customer,35,M,1,Unknown,Single,$60K - $80K,Blue,25,3,2,6053
2309,Existing Customer,39,M,2,Unknown,Married,$40K - $60K,Blue,26,1,2,5510
2310,Existing Customer,55,M,3,Doctorate,Married,$120K +,Blue,40,3,1,12875
2311,Existing Customer,41,F,2,High School,Married,$40K - $60K,Blue,36,2,4,2602
2312,Existing Customer,55,F,0,Uneducated,Married,Less than $40K,Blue,51,3,1,2041
2313,Existing Customer,52,F,2,Graduate,Married,Less than $40K,Blue,45,3,3,2548
2314,Existing Customer,57,M,2,Graduate,Married,$120K +,Blue,49,3,1,4698
2315,Existing Customer,40,F,3,High School,Unknown,Less than $40K,Blue,31,2,4,2222
2316,Existing Customer,47,M,4,High School,Married,$80K - $120K,Blue,36,3,4,8217
2317,Existing Customer,42,F,4,Uneducated,Single,Less than $40K,Silver,36,3,3,10091
2318,Existing Customer,39,M,3,Graduate,Single,$80K - $120K,Blue,34,3,5,19074
2319,Existing Customer,39,M,4,Graduate,Single,$60K - $80K,Gold,34,3,2,34516
2320,Existing Customer,36,M,3,Graduate,Married,$120K +,Blue,29,2,4,12852
2321,Existing Customer,36,M,2,Uneducated,Married,$60K - $80K,Blue,21,1,5,12763
2322,Existing Customer,29,M,0,Graduate,Married,Less than $40K,Blue,19,2,4,2827
2323,Existing Customer,56,F,2,Uneducated,Married,Unknown,Blue,36,3,5,8242
2324,Existing Customer,37,F,4,Graduate,Married,Less than $40K,Blue,28,3,1,1825
2325,Existing Customer,61,M,0,Post-Graduate,Married,Less than $40K,Blue,56,3,4,1438.3
2326,Existing Customer,36,M,3,High School,Married,$60K - $80K,Blue,36,2,4,5497
2327,Existing Customer,51,F,1,Graduate,Married,$40K - $60K,Blue,45,2,2,6778
2328,Attrited Customer,46,M,3,Graduate,Married,$60K - $80K,Blue,36,3,4,4267
2329,Existing Customer,31,F,0,High School,Married,Less than $40K,Blue,22,2,1,3273
2330,Existing Customer,33,M,2,Doctorate,Single,$40K - $60K,Blue,25,2,2,9371
2331,Existing Customer,50,F,3,High School,Single,Less than $40K,Blue,38,3,1,1438.3
2332,Attrited Customer,57,F,3,High School,Single,Unknown,Blue,36,4,2,8389
2333,Existing Customer,65,M,0,Doctorate,Single,Unknown,Blue,56,2,2,28410
2334,Existing Customer,48,M,2,High School,Married,$40K - $60K,Blue,29,2,1,6168
2335,Existing Customer,57,F,3,Unknown,Single,Unknown,Blue,40,3,1,2111
2336,Existing Customer,63,F,1,Unknown,Married,$40K - $60K,Blue,49,1,3,3141
2337,Existing Customer,50,F,2,Graduate,Divorced,$40K - $60K,Blue,40,2,5,8307
2338,Existing Customer,39,M,3,Graduate,Married,$80K - $120K,Blue,31,2,3,30753
2339,Existing Customer,39,M,2,College,Married,$60K - $80K,Blue,26,1,4,2731
2340,Existing Customer,39,F,4,Unknown,Married,Less than $40K,Blue,31,1,4,2890
2341,Existing Customer,52,M,1,Unknown,Single,$120K +,Blue,44,1,2,34516
2342,Existing Customer,37,M,1,Graduate,Married,$80K - $120K,Blue,26,3,1,8058
2343,Existing Customer,50,F,2,Uneducated,Married,Unknown,Blue,45,1,4,5660
2344,Existing Customer,59,M,0,Unknown,Married,$60K - $80K,Blue,36,4,5,4230
2345,Existing Customer,38,M,2,Graduate,Unknown,$40K - $60K,Blue,36,3,4,9515
2346,Existing Customer,65,F,0,High School,Single,$40K - $60K,Blue,36,3,3,10962
2347,Existing Customer,57,M,1,Unknown,Married,$120K +,Blue,36,2,4,23848
2348,Existing Customer,65,M,0,Uneducated,Married,Unknown,Blue,56,3,2,10144
2349,Existing Customer,38,F,4,Graduate,Married,$40K - $60K,Blue,22,3,4,2997
2350,Existing Customer,41,M,2,College,Single,$80K - $120K,Blue,35,3,3,2647
2351,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,47,1,2,4580
2352,Existing Customer,28,M,0,Post-Graduate,Married,Unknown,Blue,13,1,2,2608
2353,Existing Customer,31,M,2,Unknown,Single,$80K - $120K,Blue,24,3,3,34516
2354,Existing Customer,39,F,2,Unknown,Married,Less than $40K,Blue,19,3,1,3156
2355,Existing Customer,44,F,3,Graduate,Married,Unknown,Blue,31,2,0,24936
2356,Existing Customer,55,M,3,College,Married,$80K - $120K,Blue,42,2,1,26101
2357,Existing Customer,57,M,3,College,Married,$80K - $120K,Blue,45,3,4,14270
2358,Existing Customer,28,M,0,High School,Married,Unknown,Blue,21,3,5,25618
2359,Existing Customer,35,F,2,Graduate,Married,Less than $40K,Blue,21,1,2,3230
2360,Existing Customer,46,F,4,College,Married,Less than $40K,Blue,38,3,3,8881
2361,Existing Customer,65,F,1,Uneducated,Single,Unknown,Blue,51,3,5,11037
2362,Existing Customer,50,F,2,Uneducated,Married,Unknown,Blue,44,2,5,16763
2363,Existing Customer,31,M,0,Uneducated,Divorced,$40K - $60K,Blue,21,2,2,2621
2364,Existing Customer,49,M,2,Unknown,Single,$80K - $120K,Blue,43,3,5,4939
2365,Existing Customer,50,F,3,College,Single,Less than $40K,Blue,32,3,4,4419
2366,Existing Customer,44,F,4,High School,Divorced,Less than $40K,Blue,39,1,4,9235
2367,Existing Customer,63,F,1,High School,Married,Less than $40K,Blue,56,1,3,3055
2368,Existing Customer,41,M,1,Graduate,Divorced,$80K - $120K,Blue,35,2,3,19412
2369,Existing Customer,56,M,1,Unknown,Married,$80K - $120K,Blue,36,1,3,12786
2370,Existing Customer,55,M,1,Graduate,Married,$60K - $80K,Blue,36,2,3,4666
2371,Existing Customer,48,F,4,College,Single,Less than $40K,Blue,38,3,3,4894
2372,Existing Customer,35,M,2,High School,Single,$120K +,Blue,36,2,3,27389
2373,Existing Customer,30,F,0,Post-Graduate,Single,Less than $40K,Blue,18,3,2,2132
2374,Existing Customer,37,M,3,High School,Single,$80K - $120K,Blue,24,3,2,6590
2375,Existing Customer,53,F,2,Graduate,Married,Less than $40K,Blue,36,1,3,3176
2376,Existing Customer,37,M,1,Graduate,Single,$60K - $80K,Blue,27,1,3,4288
2377,Existing Customer,65,F,0,Uneducated,Single,Unknown,Blue,56,3,5,20130
2378,Existing Customer,48,M,2,Doctorate,Single,Less than $40K,Blue,43,3,2,5945
2379,Existing Customer,37,M,1,Graduate,Married,$40K - $60K,Blue,17,1,4,3350
2380,Existing Customer,35,M,1,High School,Married,$60K - $80K,Blue,26,3,2,4008
2381,Existing Customer,35,F,3,Graduate,Single,Less than $40K,Blue,27,3,2,5780
2382,Existing Customer,49,F,2,High School,Unknown,$40K - $60K,Blue,38,1,2,2497
2383,Existing Customer,26,F,0,High School,Single,Unknown,Blue,13,3,4,10286
2384,Existing Customer,58,M,1,Unknown,Married,$60K - $80K,Blue,36,1,3,2347
2385,Existing Customer,29,F,2,Uneducated,Single,Unknown,Blue,18,1,2,23125
2386,Existing Customer,58,F,2,Unknown,Married,Less than $40K,Blue,43,2,2,3034
2387,Existing Customer,33,M,2,College,Single,$80K - $120K,Blue,23,4,3,7081
2388,Existing Customer,36,M,2,Graduate,Married,$40K - $60K,Blue,28,1,3,6824
2389,Existing Customer,47,F,3,Doctorate,Married,Less than $40K,Blue,36,3,4,1438.3
2390,Existing Customer,41,M,2,Graduate,Married,Less than $40K,Blue,29,2,2,2683
2391,Existing Customer,46,M,4,Graduate,Single,$60K - $80K,Blue,40,2,1,12280
2392,Existing Customer,58,M,4,Graduate,Married,$60K - $80K,Blue,36,2,2,14607
2393,Existing Customer,53,F,1,Doctorate,Single,Less than $40K,Blue,48,3,3,2267
2394,Existing Customer,54,F,3,Unknown,Married,Less than $40K,Blue,36,2,4,2556
2395,Existing Customer,39,F,1,Uneducated,Divorced,Unknown,Blue,34,1,2,12512
2396,Existing Customer,49,M,2,Graduate,Married,$80K - $120K,Blue,39,2,2,11332
2397,Existing Customer,35,F,3,High School,Married,Less than $40K,Blue,23,3,4,3073
2398,Existing Customer,47,M,3,College,Married,$120K +,Silver,27,3,3,34516
2399,Existing Customer,38,M,3,Graduate,Married,$60K - $80K,Blue,34,3,3,5323
2400,Existing Customer,56,M,1,Graduate,Married,$80K - $120K,Blue,44,1,0,9078
2401,Existing Customer,56,M,2,High School,Married,$120K +,Blue,46,1,3,27029
2402,Existing Customer,38,M,3,High School,Single,$60K - $80K,Blue,25,1,4,9859
2403,Attrited Customer,46,M,3,College,Single,$80K - $120K,Blue,39,4,3,4026
2404,Existing Customer,37,M,1,High School,Single,$40K - $60K,Blue,25,2,3,2608
2405,Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue,36,1,4,3552
2406,Existing Customer,65,F,1,Graduate,Single,Less than $40K,Blue,56,2,2,4613
2407,Existing Customer,38,M,4,College,Married,$80K - $120K,Blue,27,2,4,10386
2408,Existing Customer,45,F,4,Doctorate,Unknown,Unknown,Silver,39,1,2,34516
2409,Existing Customer,26,M,0,College,Single,$40K - $60K,Blue,36,2,3,2657
2410,Existing Customer,58,F,2,Graduate,Married,Less than $40K,Blue,44,2,3,5031
2411,Attrited Customer,48,M,3,Uneducated,Married,$120K +,Blue,36,2,4,34516
2412,Existing Customer,26,F,0,Unknown,Single,$40K - $60K,Blue,16,2,4,1612
2413,Existing Customer,48,F,3,Graduate,Single,Less than $40K,Blue,43,2,2,2423
2414,Attrited Customer,33,M,3,Graduate,Married,$80K - $120K,Blue,36,3,5,7140
2415,Existing Customer,62,F,0,Doctorate,Married,$40K - $60K,Blue,51,3,2,3377
2416,Attrited Customer,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,3,4,34516
2417,Existing Customer,40,F,2,Graduate,Single,Less than $40K,Blue,29,3,2,2295
2418,Existing Customer,46,M,2,High School,Single,$40K - $60K,Blue,41,3,2,3150
2419,Existing Customer,58,M,1,High School,Married,$40K - $60K,Blue,36,2,5,2165
2420,Existing Customer,47,M,2,Graduate,Unknown,$60K - $80K,Blue,34,2,4,4249
2421,Existing Customer,50,M,2,Unknown,Divorced,$60K - $80K,Blue,41,1,3,2966
2422,Existing Customer,53,M,1,Graduate,Married,$120K +,Blue,41,3,2,1612
2423,Existing Customer,45,M,3,Graduate,Married,$60K - $80K,Blue,36,1,3,14593
2424,Existing Customer,48,M,4,Uneducated,Single,$40K - $60K,Blue,38,3,2,8327
2425,Existing Customer,43,M,3,Post-Graduate,Married,$60K - $80K,Gold,37,1,2,34516
2426,Existing Customer,60,M,0,Uneducated,Married,$60K - $80K,Blue,55,1,2,6479
2427,Existing Customer,56,M,2,High School,Married,$120K +,Blue,41,1,3,18442
2428,Existing Customer,43,F,3,College,Married,$40K - $60K,Blue,31,3,2,2800
2429,Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,36,2,3,3032
2430,Existing Customer,52,F,1,Uneducated,Married,$40K - $60K,Blue,47,3,3,2151
2431,Existing Customer,56,F,1,Unknown,Married,Unknown,Blue,36,3,2,24073
2432,Attrited Customer,43,M,1,Graduate,Married,$80K - $120K,Blue,37,2,3,25517
2433,Existing Customer,38,M,3,Graduate,Married,$60K - $80K,Blue,32,1,2,7709
2434,Existing Customer,53,M,2,College,Married,$40K - $60K,Blue,33,3,1,4065
2435,Existing Customer,52,F,1,Graduate,Divorced,Unknown,Blue,35,2,4,13169
2436,Existing Customer,58,M,2,College,Married,$80K - $120K,Blue,44,2,2,11811
2437,Existing Customer,34,F,3,College,Single,Less than $40K,Blue,36,6,1,7440
2438,Existing Customer,36,M,1,High School,Single,$40K - $60K,Blue,20,1,2,12714
2439,Existing Customer,55,F,0,Graduate,Single,$40K - $60K,Blue,35,1,3,3735
2440,Existing Customer,54,M,1,Uneducated,Married,$80K - $120K,Blue,43,1,4,25882
2441,Existing Customer,36,M,2,College,Married,$40K - $60K,Blue,36,3,1,3877
2442,Existing Customer,35,F,2,Graduate,Single,Unknown,Blue,27,3,0,3280
2443,Existing Customer,53,M,2,Graduate,Married,$120K +,Blue,36,1,3,11023
2444,Existing Customer,48,F,3,Graduate,Unknown,Less than $40K,Blue,36,2,2,6182
2445,Existing Customer,37,M,3,Uneducated,Single,$40K - $60K,Blue,19,3,4,2186
2446,Existing Customer,45,M,3,Uneducated,Single,$80K - $120K,Blue,39,1,0,17996
2447,Existing Customer,54,F,1,High School,Married,Less than $40K,Blue,43,2,3,2306
2448,Existing Customer,38,M,2,High School,Single,$60K - $80K,Silver,30,3,4,26556
2449,Existing Customer,35,F,2,College,Married,Less than $40K,Blue,18,3,2,5779
2450,Existing Customer,36,F,1,Uneducated,Single,Less than $40K,Blue,30,1,2,5494
2451,Existing Customer,33,M,1,Post-Graduate,Married,$120K +,Blue,14,1,0,7571
2452,Existing Customer,28,M,1,High School,Single,Less than $40K,Blue,14,3,1,2897
2453,Existing Customer,36,F,2,Uneducated,Single,$40K - $60K,Blue,26,2,4,3131
2454,Existing Customer,34,F,3,College,Divorced,Less than $40K,Blue,27,3,2,4274
2455,Existing Customer,55,M,0,Doctorate,Married,$60K - $80K,Blue,36,6,4,4980
2456,Existing Customer,61,F,0,Post-Graduate,Married,Less than $40K,Blue,48,3,3,3156
2457,Existing Customer,44,F,2,Graduate,Married,Less than $40K,Blue,39,1,0,6861
2458,Existing Customer,54,M,1,Graduate,Married,$80K - $120K,Blue,46,3,2,15554
2459,Existing Customer,39,M,2,High School,Married,$80K - $120K,Blue,28,2,4,26570
2460,Existing Customer,51,M,1,Unknown,Married,$60K - $80K,Blue,36,2,4,22224
2461,Existing Customer,47,M,2,Unknown,Single,$80K - $120K,Blue,41,2,4,10606
2462,Existing Customer,37,F,1,High School,Married,$40K - $60K,Blue,25,3,4,5865
2463,Existing Customer,47,F,3,Graduate,Unknown,$40K - $60K,Blue,36,2,3,5369
2464,Existing Customer,56,M,3,Uneducated,Married,$120K +,Blue,43,1,5,5188
2465,Existing Customer,53,M,1,Graduate,Single,$80K - $120K,Blue,36,2,4,17742
2466,Existing Customer,62,M,0,Graduate,Married,$40K - $60K,Blue,48,1,5,2591
2467,Existing Customer,58,F,3,Graduate,Married,Less than $40K,Blue,48,2,3,2800
2468,Existing Customer,57,M,1,High School,Married,$80K - $120K,Blue,36,2,2,6543
2469,Existing Customer,54,F,1,Doctorate,Single,Unknown,Blue,36,3,4,26053
2470,Existing Customer,33,F,3,College,Single,$40K - $60K,Blue,26,3,5,6316
2471,Existing Customer,54,F,1,Graduate,Married,Less than $40K,Blue,41,2,4,4658
2472,Existing Customer,30,M,0,Graduate,Divorced,$60K - $80K,Blue,22,3,3,6476
2473,Existing Customer,36,F,2,High School,Single,Less than $40K,Blue,36,2,5,8087
2474,Existing Customer,60,M,2,Graduate,Married,$60K - $80K,Blue,50,1,2,9033
2475,Existing Customer,46,F,4,High School,Single,Less than $40K,Blue,28,3,4,3206
2476,Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,49,3,3,28751
2477,Existing Customer,55,M,1,High School,Married,$80K - $120K,Blue,47,3,3,2938
2478,Existing Customer,31,M,0,Uneducated,Single,Less than $40K,Blue,25,2,2,5715
2479,Existing Customer,55,F,3,Uneducated,Divorced,Less than $40K,Blue,36,2,1,2111
2480,Existing Customer,36,M,2,Post-Graduate,Single,$40K - $60K,Blue,31,2,5,11862
2481,Existing Customer,34,F,2,Unknown,Single,Less than $40K,Blue,36,3,2,2791
2482,Existing Customer,33,F,1,Graduate,Single,Less than $40K,Blue,36,2,4,6551
2483,Existing Customer,30,M,2,Post-Graduate,Single,$40K - $60K,Blue,16,3,5,4533
2484,Existing Customer,54,F,2,Graduate,Married,$40K - $60K,Blue,36,3,0,1854
2485,Existing Customer,53,M,2,Uneducated,Married,$80K - $120K,Blue,43,1,3,6704
2486,Existing Customer,59,M,0,Graduate,Single,$80K - $120K,Silver,36,3,3,34516
2487,Existing Customer,41,M,2,College,Single,$120K +,Blue,32,3,2,5489
2488,Existing Customer,45,M,3,Uneducated,Married,$40K - $60K,Blue,36,1,1,10619
2489,Existing Customer,50,F,2,Graduate,Married,Less than $40K,Blue,40,3,3,2481
2490,Existing Customer,57,M,2,Uneducated,Married,$60K - $80K,Blue,47,4,1,5100
2491,Existing Customer,63,M,0,Doctorate,Single,$40K - $60K,Blue,49,4,3,5905
2492,Existing Customer,35,F,3,Unknown,Single,Unknown,Blue,30,3,2,9293
2493,Existing Customer,35,M,3,Graduate,Married,$60K - $80K,Blue,25,3,3,5240
2494,Existing Customer,53,M,3,High School,Married,$120K +,Blue,40,2,5,4182
2495,Existing Customer,33,F,4,College,Divorced,Less than $40K,Blue,24,2,2,9857
2496,Existing Customer,38,M,2,Uneducated,Married,$80K - $120K,Blue,33,1,4,20117
2497,Existing Customer,31,M,0,High School,Divorced,Less than $40K,Blue,22,2,3,6012
2498,Existing Customer,37,M,2,Graduate,Married,$60K - $80K,Blue,27,2,4,6369
2499,Existing Customer,36,M,1,Uneducated,Single,$80K - $120K,Blue,30,2,5,13005
2500,Attrited Customer,39,F,3,Graduate,Married,Unknown,Blue,36,2,3,1575
2501,Existing Customer,58,F,0,Post-Graduate,Married,Less than $40K,Blue,39,3,3,6679
2502,Existing Customer,39,F,1,Graduate,Married,Less than $40K,Blue,34,3,5,6458
2503,Existing Customer,61,M,0,Unknown,Single,$60K - $80K,Blue,48,2,4,20803
2504,Existing Customer,34,M,4,Unknown,Married,$40K - $60K,Blue,26,2,4,5540
2505,Existing Customer,55,M,3,Graduate,Married,$80K - $120K,Blue,36,3,4,2801
2506,Existing Customer,50,M,2,Uneducated,Single,Less than $40K,Blue,40,3,5,2419
2507,Existing Customer,33,M,3,High School,Single,$40K - $60K,Blue,24,3,3,5156
2508,Existing Customer,48,F,1,High School,Married,Unknown,Blue,36,4,4,14228
2509,Existing Customer,63,M,0,High School,Married,$80K - $120K,Blue,51,3,4,10257
2510,Attrited Customer,54,M,3,High School,Married,$40K - $60K,Blue,44,1,5,3032
2511,Attrited Customer,41,M,4,Graduate,Unknown,$60K - $80K,Blue,36,3,5,1438.3
2512,Existing Customer,51,M,3,Doctorate,Married,$80K - $120K,Blue,45,2,4,32096
2513,Existing Customer,54,F,2,Graduate,Married,Unknown,Blue,46,3,2,3014
2514,Existing Customer,47,M,4,Unknown,Single,$40K - $60K,Blue,36,3,3,5762
2515,Existing Customer,52,F,3,Post-Graduate,Single,Less than $40K,Blue,45,1,3,2555
2516,Existing Customer,34,M,5,Post-Graduate,Single,$80K - $120K,Silver,28,3,2,34516
2517,Existing Customer,64,M,0,High School,Married,Less than $40K,Blue,54,3,2,2140
2518,Existing Customer,62,F,1,Uneducated,Married,$40K - $60K,Blue,43,1,1,4760
2519,Existing Customer,38,M,1,Graduate,Single,$80K - $120K,Blue,27,2,5,26372
2520,Existing Customer,52,F,2,Graduate,Married,Less than $40K,Blue,43,2,2,8203
2521,Existing Customer,35,F,2,Doctorate,Married,$40K - $60K,Blue,24,2,3,2655
2522,Existing Customer,35,M,2,Graduate,Single,$120K +,Blue,27,2,2,13655
2523,Existing Customer,54,M,1,College,Married,$80K - $120K,Blue,48,1,5,12169
2524,Existing Customer,35,F,3,Unknown,Single,Less than $40K,Blue,17,1,1,2956
2525,Existing Customer,35,M,0,Doctorate,Single,$60K - $80K,Blue,18,2,3,2598
2526,Existing Customer,36,F,3,Graduate,Single,Unknown,Blue,36,2,2,10566
2527,Existing Customer,33,F,3,Graduate,Single,$40K - $60K,Blue,36,1,2,8232
2528,Existing Customer,53,M,1,Graduate,Unknown,$60K - $80K,Silver,44,2,1,26365
2529,Existing Customer,37,F,1,Uneducated,Married,Less than $40K,Blue,29,3,0,4671
2530,Existing Customer,35,M,3,Graduate,Married,$120K +,Blue,28,3,2,14869
2531,Existing Customer,59,M,1,Graduate,Married,$40K - $60K,Blue,36,2,2,2300
2532,Existing Customer,47,M,1,Unknown,Unknown,$80K - $120K,Blue,28,1,4,2797
2533,Existing Customer,48,F,3,High School,Single,$40K - $60K,Blue,30,2,1,2657
2534,Existing Customer,58,M,2,Uneducated,Married,$80K - $120K,Blue,46,1,3,9149
2535,Existing Customer,55,F,2,Unknown,Married,Less than $40K,Blue,36,2,3,2629
2536,Existing Customer,37,M,2,Graduate,Divorced,$40K - $60K,Blue,17,3,3,3176
2537,Existing Customer,57,M,2,Graduate,Married,$80K - $120K,Blue,42,1,0,21875
2538,Existing Customer,60,M,2,High School,Married,Unknown,Blue,41,2,4,3007
2539,Existing Customer,50,M,1,College,Married,$60K - $80K,Blue,40,2,4,17404
2540,Existing Customer,56,M,2,High School,Married,$60K - $80K,Blue,51,6,3,2863
2541,Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Gold,37,1,2,34516
2542,Existing Customer,40,M,4,Graduate,Single,$60K - $80K,Blue,30,1,1,13919
2543,Attrited Customer,48,M,3,Graduate,Married,$80K - $120K,Blue,39,4,3,18672
2544,Existing Customer,50,F,1,Uneducated,Married,Less than $40K,Blue,36,2,2,4204
2545,Existing Customer,61,F,1,Uneducated,Married,Less than $40K,Blue,36,2,4,6859
2546,Existing Customer,36,M,2,High School,Married,$80K - $120K,Blue,30,3,3,16050
2547,Existing Customer,46,M,5,High School,Married,$120K +,Blue,32,2,2,34516
2548,Existing Customer,28,M,0,Uneducated,Divorced,Unknown,Blue,36,3,3,16766
2549,Existing Customer,49,M,5,Unknown,Single,$80K - $120K,Blue,30,2,1,20895
2550,Existing Customer,44,F,4,High School,Single,$40K - $60K,Blue,38,3,3,7881
2551,Existing Customer,57,M,5,High School,Married,$80K - $120K,Blue,50,2,3,13427
2552,Existing Customer,37,M,2,Uneducated,Divorced,$80K - $120K,Blue,36,3,2,2281
2553,Existing Customer,57,M,2,Uneducated,Married,$80K - $120K,Blue,52,2,4,10974
2554,Attrited Customer,33,M,1,Unknown,Married,$60K - $80K,Blue,36,3,4,8925
2555,Existing Customer,46,M,2,High School,Married,$60K - $80K,Blue,40,1,3,5265
2556,Attrited Customer,45,F,2,High School,Divorced,Unknown,Blue,36,4,3,17156
2557,Existing Customer,53,M,1,Unknown,Married,$80K - $120K,Blue,36,2,3,13457
2558,Existing Customer,52,M,0,Unknown,Married,$60K - $80K,Blue,46,2,4,2742
2559,Existing Customer,34,M,1,Unknown,Married,$60K - $80K,Blue,29,2,3,3890
2560,Existing Customer,55,M,3,Graduate,Single,$80K - $120K,Blue,51,2,3,17198
2561,Existing Customer,53,M,4,High School,Married,$120K +,Blue,41,3,4,3401
2562,Existing Customer,37,M,1,Unknown,Married,$60K - $80K,Blue,19,1,2,18951
2563,Existing Customer,58,F,3,Unknown,Single,$40K - $60K,Blue,52,1,1,1454
2564,Existing Customer,33,M,3,High School,Married,$120K +,Blue,20,3,2,27499
2565,Existing Customer,39,M,3,Graduate,Married,$120K +,Blue,36,3,2,32964
2566,Existing Customer,37,F,2,High School,Single,Less than $40K,Blue,28,2,1,7411
2567,Existing Customer,32,M,0,Uneducated,Single,$40K - $60K,Blue,36,3,3,7200
2568,Existing Customer,26,F,1,Uneducated,Single,Unknown,Blue,13,2,3,12007
2569,Existing Customer,60,F,0,Graduate,Married,Less than $40K,Blue,50,2,2,3147
2570,Existing Customer,37,M,1,Graduate,Single,$80K - $120K,Blue,18,2,5,5110
2571,Existing Customer,43,F,5,Graduate,Married,Less than $40K,Blue,35,6,4,5438
2572,Existing Customer,56,M,1,Uneducated,Married,$80K - $120K,Blue,40,1,1,17450
2573,Existing Customer,52,M,3,College,Married,$80K - $120K,Blue,39,3,2,18352
2574,Existing Customer,34,M,2,Uneducated,Single,$120K +,Blue,17,1,2,5030
2575,Existing Customer,47,M,1,Unknown,Divorced,$80K - $120K,Silver,38,2,3,34516
2576,Existing Customer,26,M,0,Graduate,Single,Less than $40K,Blue,21,3,2,1585
2577,Existing Customer,54,M,1,High School,Married,$120K +,Blue,42,3,3,3251
2578,Existing Customer,35,F,3,Uneducated,Single,Less than $40K,Blue,23,2,2,2858
2579,Existing Customer,52,M,1,Unknown,Married,$80K - $120K,Silver,36,1,0,34516
2580,Existing Customer,41,M,3,Graduate,Single,$60K - $80K,Blue,28,1,3,16443
2581,Existing Customer,36,F,0,Uneducated,Divorced,Less than $40K,Blue,32,2,3,3687
2582,Existing Customer,53,F,1,Graduate,Married,Less than $40K,Blue,36,1,3,4840
2583,Existing Customer,42,M,3,Unknown,Single,$120K +,Blue,36,3,2,15108
2584,Existing Customer,54,M,1,College,Married,$60K - $80K,Blue,37,3,2,1909
2585,Existing Customer,53,M,3,Post-Graduate,Single,$80K - $120K,Blue,44,2,2,19063
2586,Existing Customer,36,M,2,High School,Married,$80K - $120K,Blue,26,2,4,15982
2587,Existing Customer,42,M,3,Graduate,Single,$60K - $80K,Blue,32,2,2,1438.3
2588,Existing Customer,27,F,2,College,Divorced,Less than $40K,Blue,14,3,3,2549
2589,Existing Customer,58,M,4,Graduate,Married,$60K - $80K,Blue,36,2,4,5967
2590,Existing Customer,59,M,1,Uneducated,Married,$40K - $60K,Blue,53,1,3,2182
2591,Existing Customer,63,F,2,Graduate,Married,Less than $40K,Blue,52,2,3,2689
2592,Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,51,2,4,30622
2593,Existing Customer,56,F,0,High School,Married,Unknown,Blue,48,1,2,4203
2594,Existing Customer,42,F,3,Unknown,Single,Less than $40K,Blue,37,1,3,6453
2595,Existing Customer,29,F,1,High School,Single,Less than $40K,Blue,23,1,2,3318
